id,title,skuid
1155193183,ARRUELA DE ACO DO TAMBOR SELETOR DE MARCHA 6.2X17X2,dde488a8-6c13-446d-a679-e1f202220043
1155193191,ARRUELA DE BORRACHA (SUPORTE DE CELULAR),72e6cd4a-7965-467d-939d-59f27f569564
1155193194,ARRUELA DE BORRACHA INFERIOR GUIDAO,2b5498a9-7b4c-4f28-b6b0-993f9e1ed335
1155193198,ARRUELA DE BORRACHA SUPERIOR GUIDAO,55a0312a-6cd8-433a-a99e-26f2ba9db579
1155193200,ARRUELA DE MOLA FIXACAO DO MOTOR / PISCA M10,dde488a8-6c13-446d-a679-e1f202240082
1155193204,ARRUELA DO EIXO GARFO TRASEIRO ,dde488a8-6c13-446d-a679-e1f202240066
1155193209,ARRUELA DO PARAFUSO ESCAPAMENTO ACO 8.5X25X2 ZP,4bc9c551-2788-4d39-b086-13a2e7c363ca
1155193213,ARRUELA DO PROTETOR ESCAPAMENTO 6.5X16.0X1.2 ZNB,a7876191-1004-498d-8517-3b41cdf8366b
1155193217,ARRUELA DO TENSOR DA CORRENTE,dde488a8-6c13-446d-a679-e1f202220044
1155193223,ARRUELA ENCOSTO PEDAL FREIO / PEDAL DE APOIO 15.5X26X2.3 ,dde488a8-6c13-446d-a679-e1f202240062
1155193226,ARRUELA ENCOSTOGUIA EIXO PEDAL PARTIDA,fdb1a7ab-a60d-481a-8510-df910abd7c67
1155193233,ARRUELA ESPECIAL A DO ESPCADOR DA CARCACA DA EMBREAGEM,dde488a8-6c13-446d-a679-e1f202220046
1155193240,ARRUELA ESPECIAL B TRAVA DO ESPACADOR DA CARCACA DA EMBREAGEM,dde488a8-6c13-446d-a679-e1f202220047
1155193246,ARRUELA EXTERNA PORCA DO EIXO TRASEIRO,5eb8c38d-066b-4c23-845e-7be0473cc2f8
1155193251,ARRUELA INFERIOR DO AMORTECEDOR DIANTEIRO,dde488a8-6c13-446d-a679-e1f202220049
1155193258,ARRUELA INFERIOR DO SUPORTE DO GUIDAO 10.3,dde488a8-6c13-446d-a679-e1f202240013
1155193268,ARRUELA LISA DE ACO 17.1X21X1,dde488a8-6c13-446d-a679-e1f202220050
1155193274,ARRUELA LISA DE ACO 17X24X0.5,dde488a8-6c13-446d-a679-e1f202220056
1155193284,ARRUELA LISA DE ACO 20.5X25.5X1.5,dde488a8-6c13-446d-a679-e1f202220064
1155193289,ARRUELA LISA DE ACO 5.7X10X0.4,dde488a8-6c13-446d-a679-e1f202220065
1155193296,ARRUELA LISA DE ACO DO CABECOTE DO MOTOR,df2812b3-e169-43fe-baf0-390b6330d4a8
1155193305,ARRUELA LISA ENCOSTO QUARTA ENGRE EIXO SEGUNDARIO 12.7X22X1,e7e0863e-a32d-4c5a-a3ae-89cad9571a07
1155193312,ARRUELA MAIOR EIXO GARFO TRASEIRO,b437b58c-9d91-470e-9c12-8895e3dbba2e
1155193316,ARRUELA PARAFUSO BRACO FREIO TRASEIRO,dde488a8-6c13-446d-a679-e1f202240065
1155193325,ARRUELA PARTIDA,8ccc374a-e5e7-422d-9f13-6c5998b42cc4
1155193331,ARRUELA PEDAL APOIO GARUPA,dde488a8-6c13-446d-a679-e1f202240055
1155193339,ARRUELA PEQUENA ,dde488a8-6c13-446d-a679-e1f202240079
1155193345,ARRUELA PERFURADA 14.5X22X1.6,dde488a8-6c13-446d-a679-e1f202240061
1155193352,ARRUELA PERFURADA 5.5X12X1,dde488a8-6c13-446d-a679-e1f202240063
1155193360,ARRUELA PERFURADA 6.4X18X1.5,dde488a8-6c13-446d-a679-e1f202240064
1155193366,ARRUELA PERFURADA 6.5X11X1.6,2d44ff95-2605-4d1d-abf8-9893152fbd2f
1155193371,ARRUELA PERFURADA 85X16X1.2,dde488a8-6c13-446d-a679-e1f202240271
1155193379,ARRUELA PERFURADA DA FRENTE DO CHASSI,dde488a8-6c13-446d-a679-e1f202240056
1155193387,ARRUELA PERFURADA DO FAROL / RODA DIANTEIRA / PISCA 125X22X2.3,dde488a8-6c13-446d-a679-e1f202240060
1155193391,ARRUELA PERFURADA SUPORTE PLACA / CAPA DA CORRENTE,dde488a8-6c13-446d-a679-e1f202240270
1155193396,ARRUELA SUPERIOR AMORTECEDOR TRASEIRO,dde488a8-6c13-446d-a679-e1f202240058
1155193401,ARTICULACAO PEDAL PARTIDA,d0db91bd-724a-4a87-bb0b-d5091a2d1a0c
1155193404,ARVORE DO COMANDO DE VALVULAS,21418c47-afae-4117-94a0-474311bcd6ea
1155193409,ARVORE DO COMANDO DE VALVULAS,8eb44dda-3c44-40e4-aca5-f80254edf49a
1155193414,ARVORE PRIMARIA DA TRANSMISSAO,dde488a8-6c13-446d-a679-e1f202220067
1155193420,ARVORE SECUNDARIA DA TRANSMISSAO,dde488a8-6c13-446d-a679-e1f202220068
1155193427,ASSENTO - BANCO COMPLETO,73b5d565-73c3-419d-865b-21be7b03c474
1155193433,ASSENTO DE ACO DA MOLA DA VALVULA,dde488a8-6c13-446d-a679-e1f202220072
1155193448,ATIVADOR DO SENSOR DE CARENAGEM (IMA SEM FIO),586f802c-c023-455c-9892-0e61ef3bbbf9
1155193454,ATIVADOR REPARO PNEU,8665ea92-79ae-40ef-879b-b40860ba68e2
1155193459,BACIA DE FREIO COM BASE,692c876a-ceba-4a4a-8092-163e1aadacdf
1155193464,BALANCIM DE ACO DO COMANDO DE VALVULA DO MOTOR,dde488a8-6c13-446d-a679-e1f202220074
1155193470,BAQUELITE (JUNCAO DO CORPO DA INJECAO),dde488a8-6c13-446d-a679-e1f202220226
1155193474,BARRIL DE OLEO - 200L,fe6fb4ff-3ce6-47b9-bdab-d556b8b53230
1155193480,BASE DO ASSENTO PLASTICO PRETO,ceaaf139-262c-49b1-b9fc-501d7cf0b291
1155193486,BATERIA,dde488a8-6c13-446d-a679-e1f202210040
1155193492,BENGALA DIREITA,df52f432-3910-47ab-9e6c-5d8e3733b2d8
1155193497,BENGALA DIREITA,6d40fb39-702c-4ab5-a102-5239e57ef3f6
1155193503,BENGALA ESQUERDA,dde488a8-6c13-446d-a679-e1f202220029
1155193509,BENGALA ESQUERDA,c4377a3f-193b-4901-8409-38af682ed1fa
1155193516,BICO INJETOR,dde488a8-6c13-446d-a679-e1f202220224
1155193523,BICO VALVULA DE AR RODA,dde488a8-6c13-446d-a679-e1f202240298
1155193527,BISNAGA 200ML - PARA LUBRIFICANTE DE CORRENTE,6f4f2100-261a-4c43-8eb1-3150a84e5eef
1155193534,BLINDAGEM DO CHASSI,08ae8cac-6e62-4dd1-bec0-7579c7a415f0
1155193539,BLINDAGEM LATERAL DA BATERIA,80a6f502-9998-4029-a244-aa0af7ab3d1b
1155193545,BLOCO DO CILINDRO,cb8811e8-3c54-4f3f-a096-c8c250c34efc
1155193550,BOBINA DE IGNICAO,dde488a8-6c13-446d-a679-e1f202220075
1155193556,BOIA DE COMBUSTIVEL E SENSOR,dde488a8-6c13-446d-a679-e1f202220242
1155193561,BOMBA DE COMBUSTIVEL,ea896dff-cb01-408f-9f05-181655350b42
1155193567,BOMBA DE OLEO,dde488a8-6c13-446d-a679-e1f202220078
1155193573,BORRACHA DE VEDACAO DA VELA,c5572391-6619-4d75-8170-d0f7e67f57f9
1155193577,BORRACHA DO ESTRIBO,dde488a8-6c13-446d-a679-e1f202220058
1155193582,BORRACHA PEDAL APOIO GARUPA,3d28a6a1-209c-420a-90b3-6a19290c9f3b
1155193590,BORRACHA PEDAL CAMBIO,d13507b6-b37a-4e4c-820c-c9d41a17b425
1155193596,BORRACHA PEDAL PARTIDA,dde488a8-6c13-446d-a679-e1f202240068
1155193601,BRACADEIRA DE ACO DA MANGUEIRA DE VACUO,dde488a8-6c13-446d-a679-e1f202220079
1155193606,BRACADEIRA DE ACO DA MANGUEIRA DO CANISTER,dde488a8-6c13-446d-a679-e1f202220082
1155193609,BRACADEIRA DE ACO DA MANGUEIRA NP. 090,dde488a8-6c13-446d-a679-e1f202220061
1155193612,BRACADEIRA DE FIXACAO DO FILTRO DE AR,4a07866c-cfe4-46c0-b714-4931f6f235c9
1155193618,BRACADEIRA DE PLASTICO DO CABO DO COMANDO DO GUIDAO,dde488a8-6c13-446d-a679-e1f202220084
1155193624,BRACADEIRA DE PLASTICO DO CHICOTE PRINCIPAL,dde488a8-6c13-446d-a679-e1f202240025
1155193630,BRACADEIRA MAIOR PRESILHA COLETOR AR,26f4926b-77fd-4a25-a213-74d3d2bb3205
1155193636,BRACADEIRA PARA MANGUEIRA DE FREIO,1541bce5-aa70-45e0-ac45-dc49b3ab7f62
1155193644,BRACO DO FREIO DIANTEIRO,dde488a8-6c13-446d-a679-e1f202220239
1155193649,BRACO DO FREIO TRASEIRO,dde488a8-6c13-446d-a679-e1f202240046
1155193655,BRACO FIXO DO CONTRA CHOC,dde488a8-6c13-446d-a679-e1f202240075
1155193660,BROCA ACO RAPIDO 2.5MM,a98b1908-2399-4ad2-8aba-9e4dadb9b965
1155193665,BUCHA DA ARVORE SECUNDARIA,dde488a8-6c13-446d-a679-e1f202220085
1155193673,BUCHA DA ENGRENAGEM,dde488a8-6c13-446d-a679-e1f202220089
1155193680,BUCHA DE ACO DO ROLAMENTO DA CARCACA DO MOTOR,ef39caf5-096d-45d9-9d0a-97dba918ea59
1155193684,BUCHA DE ARRUELA ZNK,4a567416-46ee-4114-9759-aff01e50906b
1155193691,BUCHA DO GARFO DA SUSPENSAO TRASEIRA,03ccd02d-ff9c-4ab2-8017-12ae2d5ac40a
1155193697,BUCHA DO ROLAMENTO 12X15X10,74d9e29c-a1dc-4fbb-852c-a31af21e4340
1155193702,BUCHA FIXACAO CARENAGEM LATERAL / LANTERNA TRASEIRA,349d6ab0-a684-48ec-9f4f-4219e7c4ad30
1155193705,BUCHA GUIA ACIONAMENTO FREIO DIANTEIRO,dde488a8-6c13-446d-a679-e1f202240052
1155193710,BUCHA GUIA CONTRA CHOC,7e1f8020-fc5c-4b18-a121-7ca4f62d2b42
1155193717,BUZINA,fc77e5bf-fa15-4f2d-8252-40daf39b606e
1155193724,CABECOTE DE ALUMINIO DO MOTOR,f66b697d-17af-4427-8e4a-18368d7953ff
1155193732,CABECOTE MONTADO,dde488a8-6c13-446d-a679-e1f202240181
1155193740,CABO DA EMBREAGEM,dde488a8-6c13-446d-a679-e1f202220105
1155193748,CABO DE ACO DO ACELERADOR,dde488a8-6c13-446d-a679-e1f202220108
1155193754,CABO DE ACO DO ASSENTO,b33978d9-5f08-460e-aef4-8544dd28f88d
1155193760,CABO DE VELA 21CM,c986b5d0-4b89-4228-89ab-0f8b64e833bd
